PackageName,OnCran,Install,GitHubUsername,Description
colorspace,TRUE,TRUE,,Explicit control over the HCL color scheme.
devtools,TRUE,TRUE,,Used in the C1 survival for sourcing gists.
digest,TRUE,FALSE,,Creates SHA hashes for the recruiting database.
evaluate,TRUE,TRUE,,A package that Hadley et al use a lot in their packages.  It helps when things are passed by reference.
foreign,TRUE,TRUE,,Reads data in other formats.
ggmap,TRUE,TRUE,,"Maps & graphics, based on ggplot."
ggplot2,TRUE,TRUE,,Graphing.
ggthemes,TRUE,TRUE,,"Extra themes, scales and geoms for ggplot."
glmnet,TRUE,TRUE,,"Lasso, ridge regression, and elastic net."
googleVis,TRUE,TRUE,,"JavaScript-based visualizations, like scrollable tables."
grid,TRUE,TRUE,,foundation underneath ggplot2.
gridExtra,TRUE,TRUE,,Additional functions for manipulating `grid` objects.
jsonlite,TRUE,TRUE,,"For reading polygons coded as JSON."
knitr,TRUE,TRUE,,For reporting.
"leaflet-shiny",FALSE,TRUE,jcheng5,"Connects shiny to leaflet, for mapping"
lme4,TRUE,FALSE,,Multilevel models.
lubridate,TRUE,TRUE,,Consistent/convenient function signatures for manipulating dates.
maps,TRUE,TRUE,,"Spatial functions."
plyr,TRUE,TRUE,,Important for most of our data manipulation.
random,TRUE,FALSE,,Creates random numbers for salts.
RColorBrewer,TRUE,TRUE,,Explicit control over the Color Brewer colors.  See http://colorbrewer2.org/.
RCurl,TRUE,TRUE,,Interact with the web APIs.
reshape2,TRUE,TRUE,,Data manipulation not covered in plyr.
rgdal,TRUE,FALSE,,"Reading/Importing spatial data files."
RODBC,TRUE,FALSE,,For connecting to ODBC databases.
roxygen2,TRUE,TRUE,,Creates documentation Rd file from (well-formed) comments.
rscrypt,FALSE,TRUE,rstudio,Encrypts passwords; needed for ShinyApps.
shiny,FALSE,TRUE,rstudio,The basis for the server the content over a web page.
shinyapps,FALSE,TRUE,rstudio,Deploys and manages app on ShinyApps.io.
ShinyDash,FALSE,TRUE,trestletech,Dashboard controls used in some Shiny applications
sp,TRUE,TRUE,,"The basic spatial package for R."
splines,TRUE,TRUE,,"For nonlinear prediction."
stringr,TRUE,TRUE,,Consistent/convenient function signatures for manipulating text.
testit,TRUE,TRUE,,Has the useful `assert()` function.
testthat,FALSE,TRUE,hadley,Heavier testing framework that's good for package development.
xtable,TRUE,FALSE,,"Formats tables, especially for LaTeX output."
zipcode,TRUE,TRUE,,Database of zipcodes and their lat & long; also useful for flagging bad zipcodes.
